task_index,task_slug,pair_index,pair_id,pair_type,diisocyanate_id,oh_component_id,oh_component_role,start_index,nco_site_number,oh_site_number,torsion_start_deg,torsion_collision_adjustment_deg,torsion_actual_deg,attack_side,attack_angle_deg,attack_azimuth_adjustment_deg,initial_reactive_distance_a,initial_min_interfragment_distance_a,geometry_status,execution_permission,nco_carbon_atom_index_1based,oh_oxygen_atom_index_1based,atom_count,charge,uhf,monomer_energy_sum_hartree,diisocyanate_xyz_sha256,oh_component_xyz_sha256,input_xyz_file,input_xyz_sha256,xcontrol_file,xcontrol_sha256,constraint_force_constant,xtb_version,xtb_binary_sha256,method,environment_model,optimization_level,calculation_scope,performance_claim_status,run_status,run_issue,association_energy_proxy_kcal_mol,complex_total_energy_hartree,final_reactive_distance_a,runtime_seconds,state_file
25,pair_597bf6d46537121911f9_s02,6,pair_597bf6d46537121911f9,diisocyanate_chain_extender,commercial_mdi_44,commercial_deg,chain_extender,2,1,2,90,0,90,-1,105,0,2.7,2.44124395754,ready,allowed,2,36,46,0,0,-77.07155031,cc6a5b5fea9a067eea45f6e46567081c8cbe09ef29e5122a3532a2de2ccb38c1,dde19705451c604ba00ad86d4c8b038460306260484a88830098ddc996f145e7,输入复合物/pair_597bf6d46537121911f9_s02.xyz,199bc0c7eab3854bfb35f2121536494c0e72077ebd28e8ef58f18477fc41e875,约束/pair_597bf6d46537121911f9_s02.inp,8c7eec1eddfa0f8a6246a7a0b52737bef6c39db572b38d526f19122fbbde94e8,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,invalid_completed_state,completed_state_geometry_not_converged,-5.29412800511,-77.07998704,2.70064020039,10.289,状态/pair_597bf6d46537121911f9_s02.json
26,pair_597bf6d46537121911f9_s03,6,pair_597bf6d46537121911f9,diisocyanate_chain_extender,commercial_mdi_44,commercial_deg,chain_extender,3,2,1,180,0,180,-1,105,0,2.7,1.9493513176,ready,allowed,14,35,46,0,0,-77.07155031,cc6a5b5fea9a067eea45f6e46567081c8cbe09ef29e5122a3532a2de2ccb38c1,dde19705451c604ba00ad86d4c8b038460306260484a88830098ddc996f145e7,输入复合物/pair_597bf6d46537121911f9_s03.xyz,595ba14d59b3d74bb88667f37901e3c6fe8060e5ad2573088bc8a275419ba5b4,约束/pair_597bf6d46537121911f9_s03.inp,c259b94bfbf3b03d54d3b0209bf0abd5eba02755de5b71216dcc21f40260fbfd,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-3.02960946568,-77.0763783,2.70248426721,4.233,状态/pair_597bf6d46537121911f9_s03.json
27,pair_597bf6d46537121911f9_s04,6,pair_597bf6d46537121911f9,diisocyanate_chain_extender,commercial_mdi_44,commercial_deg,chain_extender,4,2,2,270,-30,240,1,105,0,2.7,0.999973704927,ready,allowed,14,36,46,0,0,-77.07155031,cc6a5b5fea9a067eea45f6e46567081c8cbe09ef29e5122a3532a2de2ccb38c1,dde19705451c604ba00ad86d4c8b038460306260484a88830098ddc996f145e7,输入复合物/pair_597bf6d46537121911f9_s04.xyz,280d2437412ddfb00d09a942ce45189cf73b14d847b1bd79551efc3bba08f781,约束/pair_597bf6d46537121911f9_s04.inp,86413d5e5e032625c8b8aa8c8a1218bcb5f2d158e6d09ebcbed811a168818428,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-5.88582551349,-77.08092997,2.70089812737,4.191,状态/pair_597bf6d46537121911f9_s04.json
28,pair_3f18c776b3702a389f8b_s01,7,pair_3f18c776b3702a389f8b,diisocyanate_chain_extender,commercial_ndi_15,commercial_hqee,chain_extender,1,1,1,0,0,0,1,105,45,2.7,1.90160315254,ready,allowed,10,32,50,0,0,-87.57165137,7689714a632b279b6d9eea5528b8c8cdfe9fa7983dfaf902fe6f6f8a183a445c,8f475403f6da45486a2d5d2c5e8e5fdeefefe82b43046162355b344e1dc9da3c,输入复合物/pair_3f18c776b3702a389f8b_s01.xyz,d4a1cb0696c5189549ed1df5711169fccb8b1416c352c6f367661b4609e6abd2,约束/pair_3f18c776b3702a389f8b_s01.inp,46e2adcdc027dd8d584d608907de2d13880cfd365660181ecb8b0b71981bb17a,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-3.83669960103,-87.57776554,2.70042361045,3.691,状态/pair_3f18c776b3702a389f8b_s01.json
29,pair_3f18c776b3702a389f8b_s02,7,pair_3f18c776b3702a389f8b,diisocyanate_chain_extender,commercial_ndi_15,commercial_hqee,chain_extender,2,1,2,90,0,90,-1,105,0,2.7,2.21146440139,ready,allowed,10,36,50,0,0,-87.57165137,7689714a632b279b6d9eea5528b8c8cdfe9fa7983dfaf902fe6f6f8a183a445c,8f475403f6da45486a2d5d2c5e8e5fdeefefe82b43046162355b344e1dc9da3c,输入复合物/pair_3f18c776b3702a389f8b_s02.xyz,235cf55c26c1a8d8bc9a5d53d9315bc774c70d5590b3dad3beb16ededc5f9ab1,约束/pair_3f18c776b3702a389f8b_s02.inp,18b036534cd45254aa2d79bb97a9084033bcd7838afd8f581b0dbe93514d9ee9,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,invalid_completed_state,completed_state_geometry_not_converged,-5.33069298216,-87.58014637,2.70153490171,12.676,状态/pair_3f18c776b3702a389f8b_s02.json
30,pair_3f18c776b3702a389f8b_s03,7,pair_3f18c776b3702a389f8b,diisocyanate_chain_extender,commercial_ndi_15,commercial_hqee,chain_extender,3,2,1,180,0,180,-1,105,0,2.7,1.64852061514,ready,allowed,15,32,50,0,0,-87.57165137,7689714a632b279b6d9eea5528b8c8cdfe9fa7983dfaf902fe6f6f8a183a445c,8f475403f6da45486a2d5d2c5e8e5fdeefefe82b43046162355b344e1dc9da3c,输入复合物/pair_3f18c776b3702a389f8b_s03.xyz,0e5894048e61c6d2582609e2e9f1c566e6b534c30a230867d849296020a04ada,约束/pair_3f18c776b3702a389f8b_s03.inp,24a5b93405924e4dedc6db24020cfd6cfe20d232ad15b9a3b008c475e5c4f3d8,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-3.71582245105,-87.57757291,2.70179507829,7.438,状态/pair_3f18c776b3702a389f8b_s03.json
31,pair_3f18c776b3702a389f8b_s04,7,pair_3f18c776b3702a389f8b,diisocyanate_chain_extender,commercial_ndi_15,commercial_hqee,chain_extender,4,2,2,270,0,270,1,105,0,2.7,1.0418982946,ready,allowed,15,36,50,0,0,-87.57165137,7689714a632b279b6d9eea5528b8c8cdfe9fa7983dfaf902fe6f6f8a183a445c,8f475403f6da45486a2d5d2c5e8e5fdeefefe82b43046162355b344e1dc9da3c,输入复合物/pair_3f18c776b3702a389f8b_s04.xyz,3a1b469050ecae49606d0dde3ccd488602f7ac73801cd3ed7f5ffe4e228b0d6a,约束/pair_3f18c776b3702a389f8b_s04.inp,3d32cd96b9d782d8944f0b5bd596c0ba9cc5c6077336a315d78e23f30b0785c0,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-4.80127578909,-87.57930269,2.70064592731,11.355,状态/pair_3f18c776b3702a389f8b_s04.json
32,pair_90a17c3807fb14954fff_s01,8,pair_90a17c3807fb14954fff,diisocyanate_chain_extender,commercial_pdi_15,commercial_chdm_14,chain_extender,1,1,1,0,0,0,1,105,45,2.7,1.25103862132,ready,allowed,5,29,47,0,0,-67.54278355,4ac19b0fab5ac77d57ad99b015a3ac94530b315530f2650716a84b46959ab03a,6e7eb0daa12f37467e2b5f33b7358a827eda9dc4a7b0dfb0207211900e82f05c,输入复合物/pair_90a17c3807fb14954fff_s01.xyz,ca591a60a65cd43a8ab6ecebd893b596a3c10d655f39f6ed42cb669484ce2a7a,约束/pair_90a17c3807fb14954fff_s01.inp,6a71fc7e593cd5aa7c32ac2b7d8b621de32deaa587593c66937e4903062c32f1,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-5.65766934382,-67.55179962,2.70219684663,5.267,状态/pair_90a17c3807fb14954fff_s01.json
33,pair_90a17c3807fb14954fff_s02,8,pair_90a17c3807fb14954fff,diisocyanate_chain_extender,commercial_pdi_15,commercial_chdm_14,chain_extender,2,1,2,90,0,90,-1,105,0,2.7,2.09599501442,ready,allowed,5,31,47,0,0,-67.54278355,4ac19b0fab5ac77d57ad99b015a3ac94530b315530f2650716a84b46959ab03a,6e7eb0daa12f37467e2b5f33b7358a827eda9dc4a7b0dfb0207211900e82f05c,输入复合物/pair_90a17c3807fb14954fff_s02.xyz,fc814d5b2d51710143ff9f4cfe2a4dd9220b1ce44d93396ee2130eb7e4781de9,约束/pair_90a17c3807fb14954fff_s02.inp,18975463e67ea144bc4576baf12fa2da9e65d7be83f864a1448b0e09b8c7fb2c,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-2.66513941296,-67.54703072,2.70086914072,4.1,状态/pair_90a17c3807fb14954fff_s02.json
34,pair_90a17c3807fb14954fff_s03,8,pair_90a17c3807fb14954fff,diisocyanate_chain_extender,commercial_pdi_15,commercial_chdm_14,chain_extender,3,2,1,180,0,180,-1,105,0,2.7,2.27845182061,ready,allowed,10,29,47,0,0,-67.54278355,4ac19b0fab5ac77d57ad99b015a3ac94530b315530f2650716a84b46959ab03a,6e7eb0daa12f37467e2b5f33b7358a827eda9dc4a7b0dfb0207211900e82f05c,输入复合物/pair_90a17c3807fb14954fff_s03.xyz,666eff4b63ec597e5828a9044bf46d072491a39d6415862b39400131f88ae426,约束/pair_90a17c3807fb14954fff_s03.inp,f7c956d4754e33ae34ee770b92b531ad9055d9125cdb6cc5d04a1132acd48540,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,invalid_completed_state,completed_state_geometry_not_converged,-5.40606942019,-67.55139867,2.70103152086,9.244,状态/pair_90a17c3807fb14954fff_s03.json
35,pair_90a17c3807fb14954fff_s04,8,pair_90a17c3807fb14954fff,diisocyanate_chain_extender,commercial_pdi_15,commercial_chdm_14,chain_extender,4,2,2,270,0,270,1,105,45,2.7,1.07492083839,ready,allowed,10,31,47,0,0,-67.54278355,4ac19b0fab5ac77d57ad99b015a3ac94530b315530f2650716a84b46959ab03a,6e7eb0daa12f37467e2b5f33b7358a827eda9dc4a7b0dfb0207211900e82f05c,输入复合物/pair_90a17c3807fb14954fff_s04.xyz,876be4add8b5f16b85caf08f0f308ddacae368b066a41890fb271c654d17421f,约束/pair_90a17c3807fb14954fff_s04.inp,d2e4d40c7b6069c7cf0fd8b6ffade493122d83502127be35dcdf3903ca373d12,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-3.69862869146,-67.54867769,2.70203737811,4.177,状态/pair_90a17c3807fb14954fff_s04.json
36,pair_853f476a9d9d031b71ca_s01,9,pair_853f476a9d9d031b71ca,diisocyanate_chain_extender,commercial_tdi_24,commercial_bdo_14,chain_extender,1,1,1,0,30,30,1,105,0,2.7,0.840439468834,ready,allowed,9,20,35,0,0,-58.13721277,d7003c4f5c11b07ca3c0f819070b30982e1356c381cff1f762709fc86b1e6bc6,8c533bf4e6b3e1023cd5c2613df766f75534db5d488a290c2b517bc21c37ffc6,输入复合物/pair_853f476a9d9d031b71ca_s01.xyz,33a782e767e88a9f57f1b5c1193c7de35add4c137cda143ed8de5c848b7fef05,约束/pair_853f476a9d9d031b71ca_s01.inp,f09e56ea332f15fe5b52f2f27b3c054fc7464eeb35e26aaf24411fc42ef8f13f,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-4.5884057502,-58.14452486,2.70046694073,1.864,状态/pair_853f476a9d9d031b71ca_s01.json
37,pair_853f476a9d9d031b71ca_s02,9,pair_853f476a9d9d031b71ca,diisocyanate_chain_extender,commercial_tdi_24,commercial_bdo_14,chain_extender,2,1,2,90,0,90,-1,105,0,2.7,2.23608393588,ready,allowed,9,25,35,0,0,-58.13721277,d7003c4f5c11b07ca3c0f819070b30982e1356c381cff1f762709fc86b1e6bc6,8c533bf4e6b3e1023cd5c2613df766f75534db5d488a290c2b517bc21c37ffc6,输入复合物/pair_853f476a9d9d031b71ca_s02.xyz,bed3a4aaa3c3ac571622aa98453b05792b6a76846e20114c006bcf7e97c0998b,约束/pair_853f476a9d9d031b71ca_s02.inp,17d579e9b0e8d80f23bf054b85dc51500b9855f45156dd15814e04d2918b239f,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-7.18701033362,-58.148666,2.70094735748,4.412,状态/pair_853f476a9d9d031b71ca_s02.json
38,pair_853f476a9d9d031b71ca_s03,9,pair_853f476a9d9d031b71ca,diisocyanate_chain_extender,commercial_tdi_24,commercial_bdo_14,chain_extender,3,2,1,180,0,180,-1,105,0,2.7,0.853432067029,ready,allowed,12,20,35,0,0,-58.13721277,d7003c4f5c11b07ca3c0f819070b30982e1356c381cff1f762709fc86b1e6bc6,8c533bf4e6b3e1023cd5c2613df766f75534db5d488a290c2b517bc21c37ffc6,输入复合物/pair_853f476a9d9d031b71ca_s03.xyz,b6ee104c688c5f4f36125ff0cf18e7eea727cae3eff5d3575ff39346aa1aae71,约束/pair_853f476a9d9d031b71ca_s03.inp,d257631d6c1510732bf373b3165f8cb6f3947e191a73ac1318845ac5ec3b638c,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-4.91398276573,-58.1450437,2.70070946323,4.626,状态/pair_853f476a9d9d031b71ca_s03.json
39,pair_853f476a9d9d031b71ca_s04,9,pair_853f476a9d9d031b71ca,diisocyanate_chain_extender,commercial_tdi_24,commercial_bdo_14,chain_extender,4,2,2,270,120,30,1,105,0,2.7,0.707591785578,ready,allowed,12,25,35,0,0,-58.13721277,d7003c4f5c11b07ca3c0f819070b30982e1356c381cff1f762709fc86b1e6bc6,8c533bf4e6b3e1023cd5c2613df766f75534db5d488a290c2b517bc21c37ffc6,输入复合物/pair_853f476a9d9d031b71ca_s04.xyz,9f54ce6345b7de4b1477a64bd5498c5e01e01015607757aa1c65c6085b1e704f,约束/pair_853f476a9d9d031b71ca_s04.inp,aac67209e6706a31e78c86bb4f8e448d8bb354c1dd18af3178a9bee79e71e630,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,19.1718200538,-58.10666053,2.70078362543,2.833,状态/pair_853f476a9d9d031b71ca_s04.json
40,pair_19e6c3e0a0de52025d7a_s01,10,pair_19e6c3e0a0de52025d7a,diisocyanate_macrodiol,commercial_h12mdi,commercial_ptmg_1800,macrodiol_proxy,1,1,1,0,-30,330,1,105,0,2.7,0.711469556133,ready,allowed,2,42,369,0,0,-480.29348391,ca94a72718ffa0164816b869ff3cbc7d21d56950ef6940a8c5062bcf23d23828,3489fdc93c13d1559a0c8556a9c2a7be67955894174cb78128cf1f6111c6ae81,输入复合物/pair_19e6c3e0a0de52025d7a_s01.xyz,1b428ae1ff6c50f94868f466f783cf93ca148a51c775e68fc370988728d0d7a4,约束/pair_19e6c3e0a0de52025d7a_s01.inp,9f170a8b256672ffc52cadba1ba9d662ca02f9655617dcb76db2194dee71b210,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-49.295531583,-480.37204134,2.70132533587,354.669,状态/pair_19e6c3e0a0de52025d7a_s01.json
41,pair_19e6c3e0a0de52025d7a_s02,10,pair_19e6c3e0a0de52025d7a,diisocyanate_macrodiol,commercial_h12mdi,commercial_ptmg_1800,macrodiol_proxy,2,1,2,90,0,90,-1,105,0,2.7,2.12490712923,ready,allowed,2,167,369,0,0,-480.29348391,ca94a72718ffa0164816b869ff3cbc7d21d56950ef6940a8c5062bcf23d23828,3489fdc93c13d1559a0c8556a9c2a7be67955894174cb78128cf1f6111c6ae81,输入复合物/pair_19e6c3e0a0de52025d7a_s02.xyz,cae923ba61f5a48a48267b374eb8c920ad776480e72eb9433884276f3e8a57f2,约束/pair_19e6c3e0a0de52025d7a_s02.inp,b6cb3630640ee0576bac190bc36e8db219d90627d7aed78a8cc5b5c5101c896e,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-47.3683684119,-480.36897021,2.70163918149,1423.532,状态/pair_19e6c3e0a0de52025d7a_s02.json
42,pair_19e6c3e0a0de52025d7a_s03,10,pair_19e6c3e0a0de52025d7a,diisocyanate_macrodiol,commercial_h12mdi,commercial_ptmg_1800,macrodiol_proxy,3,2,1,180,0,180,-1,105,0,2.7,1.0293092605,ready,allowed,18,42,369,0,0,-480.29348391,ca94a72718ffa0164816b869ff3cbc7d21d56950ef6940a8c5062bcf23d23828,3489fdc93c13d1559a0c8556a9c2a7be67955894174cb78128cf1f6111c6ae81,输入复合物/pair_19e6c3e0a0de52025d7a_s03.xyz,82d1f4f7b87f6c78aa3125da63772262246ea4d114cc4e217064396ebd742dc4,约束/pair_19e6c3e0a0de52025d7a_s03.inp,88a5b98efd16dab8d5fd339c774242c3deb38239fe6b233df68882f9553f1792,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-53.3413424412,-480.37848875,2.70040474069,1097.444,状态/pair_19e6c3e0a0de52025d7a_s03.json
43,pair_19e6c3e0a0de52025d7a_s04,10,pair_19e6c3e0a0de52025d7a,diisocyanate_macrodiol,commercial_h12mdi,commercial_ptmg_1800,macrodiol_proxy,4,2,2,270,0,270,1,105,90,2.7,1.51883794889,ready,allowed,18,167,369,0,0,-480.29348391,ca94a72718ffa0164816b869ff3cbc7d21d56950ef6940a8c5062bcf23d23828,3489fdc93c13d1559a0c8556a9c2a7be67955894174cb78128cf1f6111c6ae81,输入复合物/pair_19e6c3e0a0de52025d7a_s04.xyz,34c0cda032ad53b2cb9a2581dd599bfe42b904943d243923325403b216645b20,约束/pair_19e6c3e0a0de52025d7a_s04.inp,8e7f4f2f1bb8408c7d3f7d87034ae3463133a7d629a56f2412d226c7f9e7236d,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-43.8386589958,-480.36334526,2.7016351205,373.094,状态/pair_19e6c3e0a0de52025d7a_s04.json
44,pair_d0340fb5d58cddfcd8e1_s01,11,pair_d0340fb5d58cddfcd8e1,diisocyanate_macrodiol,commercial_h12mdi,commercial_ptmg_2000,macrodiol_proxy,1,1,1,0,0,0,1,105,0,2.7,0.366403414042,blocked_initial_interfragment_collision,blocked,2,42,395,0,0,-513.72791567,ca94a72718ffa0164816b869ff3cbc7d21d56950ef6940a8c5062bcf23d23828,9409cae060bd461a0c546293a019e02a2d9e6bd1a94006e0aa6d67e468d51a16,输入复合物/pair_d0340fb5d58cddfcd8e1_s01.xyz,8e0a3f093143641ef2a4227cd1f9243fe92a9bca036502c4f6d9b445cbbb16df,约束/pair_d0340fb5d58cddfcd8e1_s01.inp,9f170a8b256672ffc52cadba1ba9d662ca02f9655617dcb76db2194dee71b210,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,blocked_input_geometry,blocked_initial_interfragment_collision,,,,,状态/pair_d0340fb5d58cddfcd8e1_s01.json
45,pair_d0340fb5d58cddfcd8e1_s02,11,pair_d0340fb5d58cddfcd8e1,diisocyanate_macrodiol,commercial_h12mdi,commercial_ptmg_2000,macrodiol_proxy,2,1,2,90,-60,30,-1,105,0,2.7,1.08290891555,ready,allowed,2,177,395,0,0,-513.72791567,ca94a72718ffa0164816b869ff3cbc7d21d56950ef6940a8c5062bcf23d23828,9409cae060bd461a0c546293a019e02a2d9e6bd1a94006e0aa6d67e468d51a16,输入复合物/pair_d0340fb5d58cddfcd8e1_s02.xyz,5655e39a860dc3e99e603e7b2b5fab15b2d765eef0b04abac3b41d1c5ef175f6,约束/pair_d0340fb5d58cddfcd8e1_s02.inp,5d673e37beef876196383102eae257133feac013f47a80671f1b43e5501c79d8,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-75.8290104073,-513.84875689,2.70229217754,2397.14,状态/pair_d0340fb5d58cddfcd8e1_s02.json
46,pair_d0340fb5d58cddfcd8e1_s03,11,pair_d0340fb5d58cddfcd8e1,diisocyanate_macrodiol,commercial_h12mdi,commercial_ptmg_2000,macrodiol_proxy,3,2,1,180,0,180,-1,105,0,2.7,0.366403414042,blocked_initial_interfragment_collision,blocked,18,42,395,0,0,-513.72791567,ca94a72718ffa0164816b869ff3cbc7d21d56950ef6940a8c5062bcf23d23828,9409cae060bd461a0c546293a019e02a2d9e6bd1a94006e0aa6d67e468d51a16,输入复合物/pair_d0340fb5d58cddfcd8e1_s03.xyz,d1a22c19ef0beca0dff8f6f13a8079547ad33bad8347e27c3a06773a30f19996,约束/pair_d0340fb5d58cddfcd8e1_s03.inp,88a5b98efd16dab8d5fd339c774242c3deb38239fe6b233df68882f9553f1792,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,blocked_input_geometry,blocked_initial_interfragment_collision,,,,,状态/pair_d0340fb5d58cddfcd8e1_s03.json
47,pair_d0340fb5d58cddfcd8e1_s04,11,pair_d0340fb5d58cddfcd8e1,diisocyanate_macrodiol,commercial_h12mdi,commercial_ptmg_2000,macrodiol_proxy,4,2,2,270,120,30,1,105,90,2.7,1.03044100084,ready,allowed,18,177,395,0,0,-513.72791567,ca94a72718ffa0164816b869ff3cbc7d21d56950ef6940a8c5062bcf23d23828,9409cae060bd461a0c546293a019e02a2d9e6bd1a94006e0aa6d67e468d51a16,输入复合物/pair_d0340fb5d58cddfcd8e1_s04.xyz,e9273cbd457f22c51ae374b1e0fc14dd4a37a90df884fe38553bbe10ce17fab2,约束/pair_d0340fb5d58cddfcd8e1_s04.inp,3e85fa364b4cf2d33c374b8335bc6db48d1adeaa4d2266e56e5efffddaa999df,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-72.9500471411,-513.84416897,2.7032520684,1441.101,状态/pair_d0340fb5d58cddfcd8e1_s04.json
48,pair_c331ce60e3e4002a477c_s01,12,pair_c331ce60e3e4002a477c,diisocyanate_macrodiol,commercial_hdi,commercial_ptmg_1800,macrodiol_proxy,1,1,1,0,0,0,1,105,45,2.7,0.778389992741,ready,allowed,2,25,352,0,0,-460.1449622,f803407f5b86187aa5b1156dabc45dfd2ef15e9c691991f4617d525bfe2e01f8,3489fdc93c13d1559a0c8556a9c2a7be67955894174cb78128cf1f6111c6ae81,输入复合物/pair_c331ce60e3e4002a477c_s01.xyz,38cd055c70dd1cadc7a40b89f442b2a5bb754bcdbe6e4762a3c89d012bfe3a9c,约束/pair_c331ce60e3e4002a477c_s01.inp,1d695529e1b2b6db20b6dd856a868854329bbfabea459cbd75b26ec5d9b9fa11,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-45.9451831999,-460.21818051,2.70095967849,619.343,状态/pair_c331ce60e3e4002a477c_s01.json
49,pair_c331ce60e3e4002a477c_s02,12,pair_c331ce60e3e4002a477c,diisocyanate_macrodiol,commercial_hdi,commercial_ptmg_1800,macrodiol_proxy,2,1,2,90,0,90,-1,105,0,2.7,1.95882161454,ready,allowed,2,150,352,0,0,-460.1449622,f803407f5b86187aa5b1156dabc45dfd2ef15e9c691991f4617d525bfe2e01f8,3489fdc93c13d1559a0c8556a9c2a7be67955894174cb78128cf1f6111c6ae81,输入复合物/pair_c331ce60e3e4002a477c_s02.xyz,76581290662ff39b73cd817ea162defdd38b6782ecf2e9c843180c6b1398ffc5,约束/pair_c331ce60e3e4002a477c_s02.inp,8ecfa598d564f3f3dc26c8b3f13437d2c490b2f4ea5925a67442e888b83fcdb7,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-47.9573739047,-460.22138714,2.7001958159,411.726,状态/pair_c331ce60e3e4002a477c_s02.json
50,pair_c331ce60e3e4002a477c_s03,12,pair_c331ce60e3e4002a477c,diisocyanate_macrodiol,commercial_hdi,commercial_ptmg_1800,macrodiol_proxy,3,2,1,180,60,240,-1,105,0,2.7,1.73862328977,ready,allowed,11,25,352,0,0,-460.1449622,f803407f5b86187aa5b1156dabc45dfd2ef15e9c691991f4617d525bfe2e01f8,3489fdc93c13d1559a0c8556a9c2a7be67955894174cb78128cf1f6111c6ae81,输入复合物/pair_c331ce60e3e4002a477c_s03.xyz,38fb83b80ebabcbb5822424b663ed0e2ba887f32e634f78a23f7af9c0727b01d,约束/pair_c331ce60e3e4002a477c_s03.inp,a812b99ec468cc45081e81043a593bbaaff34f18047ac815291c44ab2e4de829,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-48.649874535,-460.22249071,2.70001368127,526.608,状态/pair_c331ce60e3e4002a477c_s03.json
